,text,name
Q3016542,"Darren Edward Randolph (born 12 May 1987) is an Irish footballer who plays for Football League Championship club Birmingham City as a goalkeeper. He is a Republic of Ireland international, having prev",Darren Randolph
Q301689,"Gunnar Nielsen (born 7 October 1986) is a Faroese footballer who plays for Scottish club Motherwell as a goalkeeper. Nielsen has also represented Havnar Bóltfelag, Boldklubben Frem, Gøtu Ítróttarfelag",Gunnar Nielsen (footballer)
Q301717,"Aaron John Baddeley (born 17 March 1981) is an American Australian professional golfer. He was born in Lebanon, New Hampshire, USA and now plays on the U.S.-based PGA Tour, has joint U.S. and Australi",Aaron Baddeley
Q301757,"Aaron Jamal Brooks (born January 14, 1985) is an American professional basketball player who currently plays for the Chicago Bulls of the NBA. He was selected 26th overall in the 2007 NBA Draft. He wo",Aaron Brooks (basketball)
Q301818,"Aaron Charles Carter (born December 7, 1987) is an American singer. He came to fame as a pop and hip hop singer in the late 1990s, establishing himself as a star among pre-teen and teenage audiences d",Aaron Carter
Q301931,"Mark Nicholas Davies (born 18 February 1988) is an English footballer who plays for Bolton Wanderers in the Championship.

Club career

Wolverhampton Wanderers
Born in Willenhall, Davies was a former ",Mark Davies (footballer)
Q302068,"Aaron Michael Gray (born December 7, 1984) is an American professional basketball player who last played for the Sacramento Kings of the NBA.

High school career
Gray played high school basketball at ",Aaron Gray
Q302325,"Mark Alexander Hudson (born 30 March 1982) is an English professional footballer who plays as a centre half for Football League Championship side Huddersfield Town, where he is also the captain.

Care","Mark Hudson (footballer, born 1982)"
Q302393,"Johan Vonlanthen Benavídez (born 1 February 1986 in Santa Marta, Colombia) is a Swiss footballer who plays as a winger for Swiss Challenge League side FC Schaffhausen on loan from Grasshoppers. His st",Johan Vonlanthen
Q3024312," is a Japanese idol, singer and talent from Tokyo. She was a member and former leader of the Japanese idol group Idoling!!!.Idoling!!! cast members She is represented by Box Corporation talent agency.",Mai Endo
Q302510,"Aaron Wells Peirsol (born July 23, 1983) is an American former competition swimmer and backstroke specialist who is a former world champion and world record-holder.  He is a three-time Olympian and se",Aaron Peirsol
Q302581,"Aaron Charles Rodgers (born December 2, 1983) is an American football quarterback for the Green Bay Packers of the National Football League (NFL). Rodgers played college football for the University of",Aaron Rodgers
Q3027413,"Diego José Clementino or simply Diego Clementino (born 18 March 1984 in São Paulo), is a Brazilian striker. He currently plays for Rio Verde.

Club career

He joined Saba in December 2009.

{| class=""",Diego Clementino
Q3027453,"Diego Seoane Pérez (born 26 April 1988) is a Spanish professional footballer who plays for Deportivo de La Coruña as a right back.

Club career
Born in Ourense, Galicia, Seoane graduated from local De",Diego Seoane Pérez
Q302817,"Aaron Hillel Swartz (November 8, 1986 – January 11, 2013) was an American computer programmer, entrepreneur, writer, political organizer and Internet hacktivist who committed suicide in the context of",Aaron Swartz
Q3029129,"James Robert ""Jim"" Johnson (born June 27, 1983) is an American professional baseball relief pitcher for the Atlanta Braves of Major League Baseball (MLB).He has also played for the Baltimore Orioles, ","Jim Johnson (baseball, born 1983)"
Q303241,"Nelson Évora (born 20 April 1984) is a Portuguese athlete, of Cape Verdean descent, who specializes in the triple jump and long jump. He is the former triple jump olympic and  world champion. Évora cu",Nelson Évora
Q303464,"Alan Dawa Dolma (; ; born on July 25, 1987), professionally known as Alan (stylized as alan or aLan) (, ), is a female Tibetan singer active in the Japanese music industry. 

Discovered by Avex Trax a",Alan Dawa Dolma
Q303529,"Billy Mwanza (born January 21, 1983 in Chililabombwe, Zambia) is a Zambian footballer. He currently plays as a defender.

Career
Mwanza was part of the Zambian 2006 African Nations Cup team, which fin",Billy Mwanza
Q3035788," 
 

Timothy John (Tim) Cuddihy (born 21 May 1987) is an archer from Toowoomba, Australia,Tim Cuddihy, Sports-Reference.com. who competed at the 2004 Summer Olympics in men's individual matchplay arch",Tim Cuddihy
Q3037842,"Julie Wu Chu (born March 13, 1982) is an American Olympic ice hockey player who plays the position of forward on the United States women's ice hockey team and the position of defense on the Montreal S",Julie Chu
Q3039613,"Sajjad Anoushiravani Hamlabad (, born May 12, 1984 in Ardabil) is an Iranian weightlifter in the +105 kg category.

He won the silver medal at the 2012 Summer Olympics in the men's +105 kg category wi",Sajjad Anoushiravani
Q304117,"Alessandro Giannessi (born May 30, 1990) is a professional Italian tennis player. On October 31, 2011, he reached his highest ATP singles ranking of 140 whilst his best doubles ranking was 232 on Janu",Alessandro Giannessi
Q3041366,"Josimar Rodrigues Souza Roberto, or simply Josimar (born August 16, 1987), is a Brazilian striker.

Club career statistics
{| class=""wikitable"" style=""text-align:center;""
|-
! colspan=3 | Club perform",Josimar Rodrigues Souza Roberto
Q3041584," (born September 28, 1992) is a Japanese artistic gymnast. She is the 2009 World all-around bronze medalist, uneven bars silver medalist, and a two-time Olympian (2008, 2012).

Tsurumi was a member of",Koko Tsurumi
Q3042097,"Dyron Rudolph Daal (born 11 October 1983) is a Dutch-Curaçaoan footballer who last played for South China.

Biography
Born in Amsterdam, Netherlands, Daal is a product of the Ajax youth system and he ",Dyron Daal
Q3042422,"Petr Frydrych () (born January 13, 1988 in Klatovy, Czech Republic) is a Czech javelin thrower. His current personal best mark of 88.23 metres, thrown on May 27, 2010 in Ostrava, places him third on t",Petr Frydrych
Q3043228," is a Japanese actor and singer. He is best known for his roles as Sadaharu Inui in The Prince of Tennis (musical series Tenimyu & live film adaptation), and as The Black Lion Rio in the tokusatsu tel",Hirofumi Araki
Q304473,"Solomon Jones III (born July 16, 1984) is an American professional basketball player who last played for the Dongguan Leopards of the Chinese Basketball Association. He is 6'10"" and weighs 235 lb, pla",Solomon Jones (basketball)
Q30449,"Avril Ramona Lavigne (;  ; born 27 September 1984) is a Canadian-French singer and songwriter.  She was born in Belleville, Ontario, and spent most of her youth in the town of Napanee. By the age of 1",Avril Lavigne
Q3046462,"Grégory José Henri Béranger (born 30 August 1981 in Nice) is a French professional footballer who plays mainly as a left defender.

Football career
After starting out professionally with AS Cannes, in",Grégory Béranger
Q3047214,"Edward Kai Wang ()(born March 12, 1987) is an American football offensive tackle who is currently a free agent. He played college football at Virginia Tech and was drafted by the Buffalo Bills in the ",Ed Wang
Q304724," Guillermo García-López  (born 4 June 1983 in La Roda, Castile-La Mancha) is a professional male tennis player from Spain. He has won three singles titles and achieved a career-high singles ranking of",Guillermo García-López
Q3047610,"Edinson Volquez [VOL-kez] (born July 3, 1983), is a Dominican professional baseball pitcher who is a free agent. He has played in Major League Baseball (MLB) for the Texas Rangers, Cincinnati Reds, Sa",Edinson Volquez
Q3048184," 

 

Shi Dongpeng (, born January 6, 1984 in Hebei, People's Republic of China) is a Chinese hurdler who specializes in the 110 metre hurdles.

Shi won a silver medal at the 2002 World Junior Champio",Shi Dongpeng
Q3048607," born April 21, 1981 in Hiroshima,Oikawa said on Twitter ""私は広島市生まれなので"" (in Japanese) on 2010-09-08. Japan is a Japanese actress, TV Personality and was also a former AV idol who was very popular in th",Nao Oikawa
Q3050522,"Eleanor Catton MNZM (born 24 September 1985) is a Canadian-born New Zealand author. Her second novel, The Luminaries, won the 2013 Man Booker Prize.

Early life
Catton was born in Canada where her New",Eleanor Catton
Q305510,"Nenad Krstić (, born July 25, 1983) is a Serbian professional basketball player who plays for Anadolu Efes of the Turkish Basketball League (TBL). He also represented and captained the Serbian nationa",Nenad Krstić
Q3056516,"Erick Zenón Norales Casildo (born 11 February 1985) is a Honduran football defender who currently plays for Indy Eleven in the North American Soccer League.

Club career
Currently under reconstruction",Erick Norales
Q3056615," is a Japanese pop artist. She made her debut in the early 1990s as part of the group Speed which disbanded in March 2000. Eriko began her work away from Speed during 1998, performing ""Tsumetaku Shina",Eriko Imai
Q3057335," is a Japanese actress, model and adult video (AV) performer and director who has also used the name  for still photo shoots. Her long and prolific career and international recognition mark her as an ",Sakura Sakurada
Q3057523,"Ervin Santana (born December 12, 1982) is a Dominican professional baseball pitcher for the Minnesota Twins of Major League Baseball (MLB). He has played in MLB for the Los Angeles Angels of Anaheim, ",Ervin Santana
Q3057721,"Li Qiang (, born January 4, 1989 in Liaoning) is a Chinese sprint canoer who competed in the late 2000s. He won a silver medal in the C-1 500 m event at the 2010 ICF Canoe Sprint World Championships i",Li Qiang (canoeist)
Q3058086,"Esmerling Vásquez (born November 7, 1983) is a Major League Baseball pitcher .

Baseball career
Arizona Diamondbacks
Vásquez signed as an undrafted free agent in 2003 by the Arizona Diamondbacks. 

Vá",Esmerling Vásquez
Q30585,"Bailey Jay (born November 5, 1988 in Richmond, Virginia, United States) is an American trans woman who is a pornographic actress, adult model, and podcaster.

Early life
Bailey Jay originally gained f",Bailey Jay
Q3061219,"Rhys Davies (born 28 May 1985) is a Welsh professional golfer.

Davies was born in Edinburgh, Scotland but has lived in Wales for the majority of his life.  He played collegiate golf in the United Sta",Rhys Davies (golfer)
Q306351,"John Francis O'Shea  (born 30 April 1981) is an Irish footballer, who plays as a defender for Sunderland and the Republic of Ireland national football team. He is known for his versatility in playing ",John O'Shea
Q3063924,"Stephen Oris Drew (born March 16, 1983) is an American professional baseball second baseman and shortstop who is a free agent. He has played in Major League Baseball (MLB) for the Arizona Diamondbacks",Stephen Drew
Q3065336,"矢方美紀（，）是日本女子偶像團體SKE48 Team KII的成員。大分縣出身。隸屬於AKS。

 經歷 
 2009年11月13日、參加『SKE48第三期成員甄選』合格。
 2010年12月6日、從研究生Team KII昇格為正規成員。
 2012年5月16日發售的第9張單曲「I love you 我愛你！」初次進入選抜。
 2012年5月至6月舉行的『AKB48第27張單曲選拔總選舉』得到第6",矢方美纪
Q306665,"Miwa is a Japanese singer and songwriter. She debuted in 2010 with the single ""Don't Cry Anymore"", which was used as the theme song for the drama Nakanai to Kimeta hi.

 Biography 
Miwa was born in Ha",Miwa (singer)
Q3068358,"Feng Jing ( born 15 January 1985) is a Chinese gymnast. Feng surprisingly won the gold in the men's individual All-around in the 2001 world championships, when China did not send its strongest team to",Feng Jing
Q3073757,"thumb|Sebastián Simonet (2013)
Sebastián Simonet (born 1986) is an Argentine handball player. He was born in Buenos Aires, and plays for the French club US Ivry Handball. He competed for the Argentine",Sebastián Simonet
Q30758,"Ana Ivanovic (Serbian: Ana Ivanović, Ана Ивановић;Ana Ivanović vesti.rs 23 April 2012John Grasso Historical Dictionary of Tennis 2011 Page 225 ; born 6 November 1987) is a Serbian professional tennis ",Ana Ivanovic
Q3076546,"Igor Vetokele (born 23 March 1992 in Ostend, Belgium) is a Belgian-Angolan footballer who currently plays for Charlton Athletic F.C. in the Football League Championship.http://www.cafc.co.uk/team/play",Igor Vetokele
Q30767,"Caroline Wozniacki (, ; born 11 July 1990) is a Danish professional tennis player. She is a former World No. 1 on the WTA Tour, having held this position for 67 weeks.  She was the first woman from a ",Caroline Wozniacki
Q307795,"奥兹格·巴伊拉克（，），土耳其女子羽毛球運動員。

主要比賽成績
只列出曾進入準決賽的國際賽事成績：
{| class=wikitable style=""text-align:center; font-size:small;"" 
!width=""80""|年份
!width=""180""|賽事
!width=""80""|項目
!width=""120""|拍檔
!width=""50""|成績
|-
!rows",奥兹格·巴伊拉克
Q30787,"Melanie Oudin (born September 23, 1991) is an American tennis player and former world junior no. 2. She was a member of the American Fed Cup team from 2009 to 2011 and winner of the 2011 U.S. Open mix",Melanie Oudin
Q3078770,"Ian Iskandar Gouw () (born 9 April 1997 in Hong Kong) is a Hong Kong actor and model.

Biography
Ian is the son of Togi Gouw (Wu Zhongyi), an ethnic Chinese originally from Indonesia, and Hong Kong ac",Ian Gouw
Q3079152,"Manuel Arturo Machado (born July 6, 1992) is a Dominican-American professional third baseman for the Baltimore Orioles of Major League Baseball. He attended Brito High School in Miami. Machado was dra",Manny Machado
Q307934," 

Abdelkader Chadi (born December 12, 1986) is an Algerian boxer who won the All-African title 2007 at featherweight. He also qualified for the Olympics.

Career
Chadi beat Roberto Adjaho in the semi",Abdelkader Chadi
Q307958,"Abdelkader Mohamed Ghezzal (Arabic: عبد القادر غزال; born 5 December 1984) is an Algerian footballer. He currently plays as a forward for the Italian club Parma.

Club career
After starting his career",Abdelkader Ghezzal
Q308014,"阿卜杜勒拉赫曼·克什卡尔（，），埃及男子羽毛球運動員。

主要比賽成績
只列出曾進入準決賽的國際賽事成績：
{| class=wikitable style=""text-align:center; font-size:small;"" 
!width=""80""|年份
!width=""180""|賽事
!width=""80""|項目
!width=""160""|搭檔
!width=""50""|成績
|-
!r",阿卜杜勒拉赫曼·克什卡尔
Q3080433," 

Yang Chaosheng (Chinese: 杨超声; Pinyin: Yáng Chāoshēng; born 22 July 1993 in Dongguan, Guangdong) is a Chinese footballer who currently plays for Liaoning Whowin on loan from Guangzhou Evergrande in ",Yang Chaosheng
Q3081144," (born 21 June 1987) is a Japanese beauty pageant titleholder, opinion leader, actress, book author and social activist who was crowned Miss International 2012 in Okinawa. It was Japan's first Miss In",Ikumi Yoshimatsu
Q30812,"Petra  Kvitová (; born 8 March 1990) is a Czech professional tennis player. Known for her powerful left-handed shots and variety, she has won fourteen career singles titles including two Grand Slam ti",Petra Kvitová
Q3082688,"Jiang Wenwen (; born 25 September 1986 in Chengdu, Sichuan) is a Chinese synchronized swimmer.

She competed at the 2008 Olympics in the duet event with her twin sister Jiang Tingting and the teams ev",Jiang Wenwen
Q3082724,"Jiang Tingting (; born 25 September 1986 in Chengdu, Sichuan) is a Chinese synchronized swimmer.

She competed at the 2008 Olympics in the duet event with her twin sister Jiang Wenwen and the teams ev",Jiang Tingting
Q308371,"Abdoul-Aziz Nikiema (born 12 June 1985 in Ouagadougou) is a Burkinabé football midfielder who last played for C.D. Trofense in the Liga de Honra.

Career
Nikiema began his career with Planète Champion",Abdoul-Aziz Nikiema
Q308438,"Abdoulie Mansally (born January 27, 1989 in Banjul) is a Gambian footballer who currently plays for Real Salt Lake in Major League Soccer.

Professional career

New England Revolution
Mansally began h",Abdoulie Mansally
Q3088137,"Jung Gyu-woon (; born June 28, 1982) is a South Korean actor.

Career
Jung Gyu-woon made acting his debut in 2004 with the mobile drama Five Stars. He first gained notice in 2008 when he took two cont",Jung Gyu-woon
Q3088321,"Su Bingtian, Chinese: 苏炳添, (born 29 August 1989 in Zhongshan,Zhongshan athlete won gold medal. Zhonshan Government. Retrieved on 2010-12-20. Guangdong) is a Chinese track and field athlete who compete",Su Bingtian
Q3088522," is a Japanese professional Go player.

 Biography 
Rin Kono grew up as one of Koichi Kobayashi's students. He became a professional when he was 15 in 1996. He was promoted to 8 dan after beating Keig",Rin Kono
Q3088828," is a Japanese actress, gravure idol, and TV personality from Sendai, Miyagi Prefecture. Her most notable appearances are in Shimokita Glory Days. Seto appeared in her first movie, Seoul Raiders, in 2",Saki Seto
Q3088852," is a Japanese AV idol who has performed for several prominent adult video (AV) companies and who has appeared in more than 500 AVs.

 Life and career 
Hino was born March 7, 1986 in Kanagawa Prefectu",Hikari Hino
Q3090378,"Michael ""Mike"" Nelson Trout (born August 7, 1991), nicknamed ""The Millville Meteor"", is an American professional baseball outfielder for the Los Angeles Angels of Anaheim of Major League Baseball (MLB",Mike Trout
Q3091233,"Risa Yoshiki  is a Japanese glamour model, actress, celebrity, and singer. She has released two singles, seven DVDs, and appears regularly on TV and radio.

Biography

Yoshiki was born in Funabashi in",Risa Yoshiki
Q3091485,"Scott William Mathieson (born February 27, 1984) is a Canadian professional baseball pitcher for the Yomiuri Giants of Nippon Professional Baseball.

While playing for the Langley Blaze of the B.C. Pr",Scott Mathieson
Q309590,"Jeremy Shu-How Lin (born August 23, 1988) is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association (NBA). He unexpectedly led a winning turnaroun",Jeremy Lin
Q309628,"Papiss Demba Cissé (born 3 June 1985) is a Senegalese footballer who plays as a striker for Newcastle United and the Senegal national team.

Formerly of SC Freiburg, he holds the record of most goals ",Papiss Cissé
Q309680,"Sebastián Eguren Ledesma (born 8 January 1981) is a Uruguayan professional footballer who plays for Brazilian club Sociedade Esportiva Palmeiras mainly as a defensive midfielder.

He started his caree",Sebastián Eguren
Q309697,"Brandon Richard Flowers (born June 21, 1981) is an American musician, singer, songwriter and lyricist. He is best known as the frontman of the Las Vegas-based rock band The Killers. In 2010, Flowers r",Brandon Flowers
Q309728,"Kieran Edward Richardson (born 21 October 1984) is an English professional footballer who plays for Aston Villa. He is a left winger, but has proven to be versatile, having also played as a left-back,",Kieran Richardson
Q309762,"Luca Antonini (born 4 August 1982) is an Italian professional footballer who plays as a defender for Serie A club Genoa. He is fullback, equally proficient on either flank.

 Club career 

 Early care",Luca Antonini
Q309781,"Ritchie Ria Alfons De Laet (, born 28 November 1988) is a Belgian professional footballer who plays as a defender for English club Leicester City.

Club career

Stoke City
Born in Antwerp, De Laet beg",Ritchie De Laet
Q309783,"Blake Austin Griffin (born March 16, 1989) is an American professional basketball player who currently plays for the Los Angeles Clippers of the National Basketball Association (NBA).  Griffin had a r",Blake Griffin
Q309826,"Marat Nailevich Izmailov (, ; born 21 September 1982) is a Russian professional footballer who plays for FC Krasnodar on loan from F.C. Porto of Portugal. He is an ethnic Volga Tatar.

Mainly a right ",Marat Izmailov
Q3098552,"Gary Orlando Forbes (born February 25, 1985) is a Panamanian professional basketball player who is currently a free agent. The 6 ft 7 in,  small forward played college basketball initially at the Univ",Gary Forbes
Q309890,"Mateus Alberto Contreiras Gonçalves (born 7 March 1983), commonly known as Manucho, is an Angolan professional footballer who plays for Spanish club Rayo Vallecano as a striker.

Manucho moved from Pe",Manucho
Q309894,"Diego Cavalieri  (born 1 December 1982) is a Brazilian footballer who plays for Fluminense as a goalkeeper. He is of Italian ancestry and holds both an Italian and Brazilian passport.

Club career

Pa",Diego Cavalieri
Q309966,"Bernd Leno (born 4 March 1992) is a German footballer who plays as a goalkeeper for Bayer Leverkusen in the Bundesliga.

Personal
Leno's father is of German-Russian descent.http://www.bild.de/sport/fu",Bernd Leno
Q309986,"Sun Yang (; born 1 December 1991 in Hangzhou, Zhejiang; ancestral home Huai'nan, Anhui)Sun's bio page from China's 2008 Olympic team website; retried 2011-01-19. is a Chinese Olympic and world-record-",Sun Yang
Q310007,"Pedro León Sánchez Gil (; born 24 November 1986), known as León, is a Spanish footballer who plays for Getafe CF as a right winger.

Club career
Murcia
Born in Mula, Region of Murcia, León began his c",Pedro León
Q310022,"Fernando Navarro i Corbacho (; born 25 June 1982) is a Spanish professional footballer who plays for Sevilla FC as a left back or a central defender.

Club career
Barcelona / Mallorca
Born in Barcelon",Fernando Navarro
Q310037,"Alan Hutton (born 30 November 1984) is a Scottish professional footballer who plays for Aston Villa as a right back. Hutton has made 43 appearances for the Scotland national football team.

After star",Alan Hutton
Q310040,"Anthony James ""Tony"" Hibbert (born 20 February 1981) is an English footballer who currently plays for Everton in the Premier League. Originally a midfielder, Hibbert now plays at right back. He has sp",Tony Hibbert
Q310043,"Emmanuel Yaw Frimpong () (born 10 January 1992) is a Ghanaian professional footballer who currently plays for Ufa in the Russian Premier League.

Although Frimpong has represented England at youth lev",Emmanuel Frimpong
Q310055,"David Michael Bentley (born 27 August 1984) is an English retired footballer who played in the Premier League for Blackburn Rovers and Tottenham Hotspur. He usually played as a winger, but also played",David Bentley
Q310086,"Benjamin Thomas ""Ben"" BarnesTeenHollywood.com - Ben Barnes: Chatting with ""Caspian"" (born 20 August 1981) is an English actor. He is known for his portrayal of Caspian X in The Chronicles of Narnia fi",Ben Barnes (actor)
Q310089,Skandar Keynes (; born Alexander Amin Casper Keynes; 5 September 1991) is an English actor. He is best known for starring as Edmund Pevensie in the Chronicles of Narnia film series since 2005.Skandar ,Skandar Keynes
Q310108,"Gilbert Jay Arenas, Jr. (; born January 6, 1982) is an American professional basketball player who last played for the Shanghai Sharks of the Chinese Basketball Association (CBA).

Arenas attended Gra",Gilbert Arenas
Q310116,"Wasalu Muhammad Jaco (born February 16, 1982), better known by his stage name Lupe Fiasco ( ), is an American rapper, record producer, and entrepreneur.  He rose to fame in 2006 following the success ",Lupe Fiasco
Q3101708,"George Kottaras (; born May 10, 1983) is a Canadian professional baseball catcher in the Chicago White Sox organization. He has previously played in Major League Baseball (MLB) for the Boston Red Sox,",George Kottaras
Q310199,"Tuncay Volkan Şanlı (, born 16 January 1982), or simply Tuncay, is a Turkish footballer who plays for Umm Salal SC in the Qatar Stars League. His natural position is the striker position, but he has p",Tuncay Şanlı
Q310211,"Siboniso Gaxa  (born 6 April 1984 in Durban, KwaZulu-Natal) is a South African football defender who currently plays for Kaizer Chiefs F.C. and South Africa.

Personal
He hails from KwaMashu, Durban. ",Siboniso Gaxa
Q310226,Pablo Edson Barrera Acosta (born 21 June 1987) is a Mexican footballer who plays as a winger or outside forward for Liga MX club Cruz Azul. He spent the early part of his career playing for Club Unive,Pablo Barrera
Q310255,"Sani Haruna Kaita (born 2 May 1986, in Kano, Nigeria) is a Nigerian footballer playing for Nigeria Premier League team Enyimba F.C.

Club career
A hardworking combative midfielder, he joined Sparta in",Sani Kaita
Q310275,"Francisco ""Frankie""  Muñiz IV (born December 5, 1985) is an American actor, musician, writer, producer, and racing driver. He is known primarily as the star of the FOX television family sitcom Malcolm",Frankie Muniz
Q310328,Andriy Mykolaiovich Yarmolenko (; born 23 October 1989 in Leningrad) is a Ukrainian football winger or forward for Dynamo Kyiv in the Ukrainian Premier League and the Ukraine national football team. H,Andriy Yarmolenko
Q310330,"Francisco Javier ""Javi"" García Fernández (; born 8 February 1987) is a Spanish professional footballer who plays for Russian club FC Zenit Saint Petersburg. A defensive midfielder by nature, he can al",Javi García
Q310349,"Paul-Henri Mathieu (born 12 January 1982 in Strasbourg, France) is a French tennis player. He has won four singles titles and achieved a career-high singles ranking of World No. 12 in April 2008.

Ten",Paul-Henri Mathieu
Q310369,"Fredua Koranteng ""Freddy"" Adu (born June 2, 1989) is a Ghanaian-born American soccer player who last played for Serbian SuperLiga club Jagodina. Adu plays primarily as an attacking midfielder, but he ",Freddy Adu
Q310375,"Kunal Nayyar (; Hindi: कुणाल नय्यर, Punjabi: ਕੁਨਾਲ ਨੈਯ੍ਯਰ, born April 30, 1981) is an Indian actor and writer known for his role as Dr. Raj Koothrappali in the CBS sitcom The Big Bang Theory.

Early l",Kunal Nayyar
Q310376,"Dmitry Igorevich Tursunov (; born 12 December 1982, Moscow) is a Russian professional male tennis player. He was 12 years old when he came to the United States to train and further his prospects of be",Dmitry Tursunov
Q310402,"Scott Andrew Sinclair (born 25 March 1989) is an English footballer who plays for Premier League club Manchester City. Sinclair plays as a winger, having previously played for Bristol Rovers, Chelsea,",Scott Sinclair
Q310404,"Joshua Mark ""Josh"" McEachran (born 1 March 1993) is an English professional footballer who plays for Dutch Eredivisie side Vitesse Arnhem, on loan from Chelsea, as a midfielder.

Early life
McEachran ",Josh McEachran
Q310408,"Chinedum ""Nedum"" Onuoha (born 12 November 1986) is a professional footballer who plays for Queens Park Rangers. He is a defender, typically a centre back, but he can also play at right back or left ba",Nedum Onuoha
Q310411,"Carlos Austin Boozer, Jr. (born November 20, 1981) is an American professional basketball player who currently plays for the Los Angeles Lakers of the National Basketball Association (NBA). As a membe",Carlos Boozer
Q310458,"André Clarindo dos Santos (born 8 March 1983), more commonly known as André Santos, is a Brazilian footballer who has previously featured for the Brazil national football team and currently plays for ",André Santos
Q310504,Emanuel Pogatetz (born 16 January 1983) is an Austrian footballer who is currently playing for the Columbus Crew in Major League Soccer.http://www.si.com/soccer/planet-futbol/2014/09/08/columbus-crew-,Emanuel Pogatetz
Q3105192,"Giancarlo Cruz Michael Stanton (born November 8, 1989) is an American professional baseball outfielder for the Miami Marlins of Major League Baseball (MLB). Prior to the 2012 season, he was known as """,Giancarlo Stanton
Q310548,"Kevin Strootman  (born 13 February 1990) is a Dutch footballer who plays as a midfielder for Roma.

Club career

Sparta Rotterdam

Born in Ridderkerk, Strootman began his career with Sparta Rotterdam,",Kevin Strootman
Q310559,"Marek Čech (born 26 January 1983) is a Slovak professional footballer who plays for Bologna. He primarily plays as an attacking left-sided wing-back.

Biography
He has previously played for Inter Brat",Marek Čech (Slovak footballer)
Q310567,"Anton Vladimirovich Shunin (; born 27 January 1987) is an association football goalkeeper who currently plays for Dynamo Moscow.

Club career
Shunin is a youth product of Dynamo Moscow. He made his de",Anton Shunin
Q310580,"David Roland Cook (born December 20, 1982) is an American rock singer-songwriter, who rose to fame after winning the seventh season of the reality television show American Idol. Prior to Idol he relea",David Cook (singer)
Q310596, is a Japanese football player. He plays for J. League division 1 side Júbilo Iwata. He is right-footed and mainly plays right full back for the club but he is often employed in the left for Japan nat,Yūichi Komano
Q310598,", commonly known as Tulio, is a Brazilian-born Japanese footballer who plays for the J. League Division 1 club Nagoya Grampus.

Career
Born in Palmeira d'Oeste, Brazil to a second generation Japanese-",Marcus Tulio Tanaka
Q310602," is a Japanese footballer who plays for JEF United Chiba in the J. League Division 2.

Morimoto holds the record for the youngest Japanese player to make his professional debut and the youngest scorer",Takayuki Morimoto
Q310605,", is a Japanese professional footballer who plays for Dutch Eredivisie side FC Twente, on loan from Arsenal as a winger. He has been described by team-mate Theo Walcott as a player with great pace and",Ryo Miyaichi
Q310607," is a Japanese professional footballer, who plays for FC Schalke 04 and the Japan national football team as a right back.

Professional career
[[File:Atsuto Uchida 2011-08-03-2.jpg|thumb|left|110px|Uc",Atsuto Uchida
Q310610," is a Japanese goalkeeper who plays for Standard Liège in the Belgian Pro League.

Early life
Kawashima attended Yononishi Junior High School and Urawa Higashi High School, where he played on their am",Eiji Kawashima
Q310612,"Shinji Okazaki (岡崎 慎司 Okazaki Shinji, born 16 April 1986) is a Japanese football player currently playing for 1. FSV Mainz 05 of the German Bundesliga.

At club level, Okazaki is the most prolific Jap",Shinji Okazaki
Q310625,"Marc Bartra Aregall (, ; born 15 January 1991) is a Spanish professional footballer who plays for FC Barcelona as a central defender.

Club career
thumb|right|Marc Bartra arriving in Glasgow with Barc",Marc Bartra
Q310635,"Rodrigo Sebastián Palacio Alcalde2014 FIFA World Cup Brazil ™ - List of Players, FIFA.com, Retrieved 07/07/2014 (; born 5 February 1982) is an Argentine footballer who plays for Internazionale in Seri",Rodrigo Palacio
Q310657,"Matías Ariel Fernández Fernández (, born 15 May 1986) is a Chilean professional footballer who plays for Italian club ACF Fiorentina as an attacking midfielder. He is known for his dribbling skills, a",Matías Fernández
Q310660,"Dickson Paul Etuhu (born 8 June 1982 in Kano) is a Nigerian professional footballer who plays for Swedish AIK in Allsvenskan. His younger brother Kelvin is also a footballer. He grew up in Peckham, so",Dickson Etuhu
Q310671,"Angelo Palombo (born 25 September 1981) is an Italian footballer who plays as a midfielder for Sampdoria. Born in Ferentino, he has played in Serie A for Fiorentina, Sampdoria and Internazionale. Palo",Angelo Palombo
Q310673,"Jong Tae-Se (romanization used by FIFA; hangul: 정대세; hanja: 鄭大世; also spelled as  in Japan and Germany) born 2 March 1984 in Nagoya, Aichi Prefecture, Japan) is a North Korean footballer currently pla",Jong Tae-se
Q310675,"Kyriakos Papadopoulos (; born 23 February 1992) is a Greek footballer who plays as a centre back for Bayer Leverkusen on loan from Schalke 04, and the Greek national team.

Club career
Olympiacos
Born",Kyriakos Papadopoulos
Q310677,Dominic Adiyiah (born 29 November 1989) is a Ghanaian professional footballer who plays as a striker for Kazakhstan Premier League club Atyrau. Adiyiah comes from Offinso in the Ashanti Region of Ghan,Dominic Adiyiah
Q310703,"Jakob Bendix Uhd Poulsen (born 7 July 1983) is a Danish professional football player in the midfielder position, playing for Midtjylland. Poulsen started his senior career with Esbjerg fB, before movi",Jakob Poulsen
Q3107035,"Tales Schütz (born 22 August 1981 in Porto Alegre, Brazil) is a Brazilian footballer who is currently playing for Hong Kong First Division League side Biu Chun Rangers. He is of German descent""Schutz ",Tales Schutz
